Category,Industry,AutomationPotential,AIInvestment,DigitalInfrastructure,SkillLevel,UseCases
Primary,Agriculture,3.5,2.5,2.5,2.5,2.5
Primary,Utilities,4.0,3.5,4.0,3.5,3.5
Primary,Mining,4.0,3.0,3.0,3.0,3.0
Secondary,Manufacturing,5.0,3.5,3.5,3.0,4.5
Secondary,Automotive & Transportation Equipment,4.5,3.5,4.0,3.5,4.0
Secondary,Construction,4.5,3.0,3.5,3.0,3.5
Secondary,Aerospace & Defense,4.5,4.5,4.5,4.0,4.5
Secondary,Electronics / Semiconductors,4.5,4.0,4.5,4.0,4.0
Tertiary,Finance & Banking,4.5,5.0,4.5,4.0,5.0
Tertiary,Healthcare & Pharmaceuticals,3.5,4.0,4.0,3.0,4.0
Tertiary,Retail & E-Commerce,4.5,4.0,3.5,3.5,4.0
Tertiary,Education,2.0,2.5,3.0,3.0,2.0
Tertiary,Transportation & Logistics,4.5,3.0,3.5,2.5,3.5
Tertiary,Legal Services,3.0,3.0,2.5,2.5,3.0
Tertiary,Hospitality & Tourism,3.5,2.5,3.0,2.5,2.5
Tertiary,Telecommunications,4.0,4.5,4.5,4.0,4.5
Tertiary,Media & Entertainment,3.5,4.0,4.5,4.0,4.5
Tertiary,Real Estate,3.0,2.5,3.5,3.0,2.5
Quaternary,Information Technology (IT),4.0,5.0,5.0,4.5,5.0
Quaternary,Consulting & Professional Services,3.5,4.5,4.5,4.0,4.5
Quaternary,Government / Public Sector,3.0,3.5,3.5,3.0,3.0
Quaternary,Environmental Services / Sustainability,3.5,3.5,4.0,3.5,3.5
Quaternary,Advertising & Marketing,3.0,4.0,4.5,4.0,4.5
Quaternary,Nonprofits & NGOs,2.5,2.5,3.0,2.5,2.5
Quaternary,Cybersecurity,4.5,5.0,5.0,4.5,5.0
